EASTING,NORTHING,FACILITY_N
45.35442,2.44913,Gololey
47.51389,4.65917,Jawle
47.85717,4.65421,Haradere
47.85717,4.65421,Amara
43.75967,9.67695,Arabsiyo
43.52306,9.38528,Alley Baday
45.06171,9.40858,Owdweyne
43.62551,9.70231,Gebiley
45.90811,8.37342,Balleh Dig
45.23699,8.59396,X/Salax
46.41249,8.95755,Caynabo
45.53747,9.52749,Dr.Yusuf
44.06678,9.55975,Hawadle
44.06678,9.55975,Iftin
44.06678,9.55975,Daami
44.06678,9.55975,Guryo Samo
43.9977,8.9992,Balli Gubadle
44.06678,9.55975,Central Hargeisa
43.33583,9.59972,Togwajale
44.69325,9.76639,Cadaadley
44.22306,9.71959,Dararweyne
44.20639,9.02556,Sallaxley
44.06678,9.55975,Sheikh Noor.
44.03186,9.87758,Horahaadley
44.06678,9.55975,Sahardiid
44.06678,9.55975,Max'd Axmed
44.06678,9.55975,"Moh,d Mooge"
44.06678,9.55975,New Hargeisa
45.33372,2.04139,ACF-TFC
45.33372,2.04139,Bondere
43.16359,4.35047,Rabdure
45.33372,2.04139,SIFA
44.51275,4.0182,Tieglow
43.24709,3.80925,Waajid
43.65993,4.82821,El-Berde
43.89012,4.12303,Hudur
45.33372,2.04139,Keynan Clinic
45.33372,2.04139,ZamZam
45.33372,2.04139,Hamarwein
45.33372,2.04139,Hamar Jab Jab
45.33372,2.04139,Yaqshid North
45.33372,2.04139,Daynile
45.33372,2.04139,Karan
45.33372,2.04139,Shibis
45.33372,2.04139,Hayat
45.33372,2.04139,Ayan Hospital
45.33372,2.04139,Muslim Aid-Madina
45.33372,2.04139,Waberi
45.33372,2.04139,ACF-TFC
45.33372,2.04139,SRRDO
45.33372,2.04139,SOS
45.33372,2.04139,Hanano
44.08205,2.80488,Burkhaba
42.97655,2.40735,Diinsoor
43.6469,3.11718,Horseed
43.19809,3.2146,Berdale
43.6469,3.11718,Isha
43.6469,3.11718,Adado
45.33372,2.04139,Yaqshid MCH
43.6469,3.11718,Howlwadag
46.38465,5.53594,Dusamareb
42.28502,2.33966,Bardera
47.18031,3.84909,El-Der
47.18031,3.84909,Waxweyne
46.7011,6.4289,Gelinsor
46.61739,4.68441,El-Bur
43.00434,2.87123,Qanasaxdhere
46.62551,6.13812,Adado
49.08608,9.50694,Gardho
47.43061,6.76924,Gaalkacyo
50.22879,10.28235,Iskushuban
49.87139,11.47237,Qandala
49.18063,11.28366,Ugas Yasin
49.75497,10.65083,Ufayn
50.75658,11.96531,Allula
50.81223,9.49482,Bandarbeyla
48.14235,7.44899,Balambal
48.85376,7.21308,Jariiban
47.24528,7.17417,Bursalah
48.15751,7.09507,Balibusle
47.52634,7.19208,Bacaadweyn
47.13104,7.05739,Goldogob
47.43061,6.76924,Gaalkacyo South
47.62056,7.34833,Harfo
48.4827,8.4071,Gambool
49.06778,7.72944,Sinujiif
47.7837,7.6415,Godobjiran
48.48639,8.41278,Kalabayr
