c_code,country,r_code,region,pop_total,pop_urban,pop_rural,pop_idp
SO,Somalia,SO11,Awdal,673264,287822,377452,7990
SO,Somalia,SO12,Woqooyi Galbeed,1242003,802740,394673,44590
SO,Somalia,SO13,Togdheer,721363,483724,211879,25760
SO,Somalia,SO14,Sool,327427,120993,201614,4820
SO,Somalia,SO15,Sanaag,544123,159717,383496,910
SO,Somalia,SO16,Bari,730147,471784,198717,59646
SO,Somalia,SO17,Nugaal,392697,138929,244273,9495
SO,Somalia,SO18,Mudug,717862,381493,265487,70882
SO,Somalia,SO19,Galgaduud,569434,183553,266113,119768
SO,Somalia,SO20,Hiraan,520686,81379,388147,51160
SO,Somalia,SO21,Middle Shabelle,516035,114348,349727,51960
SO,Somalia,SO22,Banadir,1650228,1280939,0,369289
SO,Somalia,SO23,Lower Shabelle,1202219,215752,883497,102970
SO,Somalia,SO24,Bay,792182,93046,659316,39820
SO,Somalia,SO25,Bakool,367227,61929,281298,24000
SO,Somalia,SO26,Gedo,508403,109141,322534,76728
SO,Somalia,SO27,Middle Juba,362921,56242,279679,27000
SO,Somalia,SO28,Lower Juba,489307,172861,285846,30600
